time,zVel_E[0],zVel_N[1],vel_mps_E,vel_mps_N,gps_vel_mps_E,gps_vel_mps_N,vn_corr_mps_E,vn_corr_mps_N,rt_float_E,rt_float_N,P_Vel[0],P_Vel_N[1],
0.0000000,0.0000027,0.0041406,0.0000027,0.0111406,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3807887,0.0127077,0.0349611,
0.0000000,0.0000027,0.0001060,0.0000027,0.0111060,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3701351,0.0126613,0.0348147,
0.0000000,0.0000026,0.0021050,0.0000026,0.0111050,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3937004,0.0126320,0.0346617,
0.0000000,0.0000026,0.0030888,0.0000026,0.0110888,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3577709,0.0125965,0.0345282,
0.0000000,0.0000026,-0.0019397,0.0000026,0.0110603,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3872983,0.0125570,0.0343685,
0.0000000,0.0000026,0.0060755,0.0000026,0.0110755,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3728270,0.0125328,0.0342340,
0.0000000,0.0000026,0.0100247,0.0000026,0.0110247,0.0000000,0.0010000,0.0000000,0.0000000,0.0560499,0.3820994,0.0124706,0.0340905,
0.0000000,0.0000025,0.0069455,0.0000025,0.0109455,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3701351,0.0121730,0.0339557,
0.0000000,0.0000024,0.0018876,0.0000024,0.0108876,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3714835,0.0121019,0.0338137,
0.0000000,0.0000024,0.0038720,0.0000024,0.0108720,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3619392,0.0120707,0.0336745,
0.0000000,0.0000024,-0.0121612,0.0000024,0.0108388,0.0000000,0.0230000,0.0000000,0.0000000,0.2688060,0.3911521,0.0120309,0.0335297,
0.0000000,0.0000024,-0.0010725,0.0000024,0.0109275,0.0000000,0.0120000,0.0000000,0.0000000,0.1941626,0.3911521,0.0120188,0.0334071,
0.0000000,0.0000024,0.0009353,0.0000024,0.0109353,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3714835,0.0119959,0.0332860,
0.0000000,0.0000024,0.0079278,0.0000024,0.0109278,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3660601,0.0119685,0.0331531,
0.0000000,0.0000023,0.0038633,0.0000023,0.0108633,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3563706,0.0118786,0.0330180,
0.0000000,0.0000023,0.0018305,0.0000023,0.0108305,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3619392,0.0118407,0.0328772,
0.0000000,0.0000023,-0.0001845,0.0000023,0.0108155,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3741657,0.0118114,0.0327424,
0.0000000,0.0000023,-0.0011831,0.0000023,0.0108169,0.0000000,0.0120000,0.0000000,0.0000000,0.1941626,0.3728270,0.0117877,0.0326177,
0.0000000,0.0000023,-0.0081741,0.0000023,0.0108259,0.0000000,0.0190000,0.0000000,0.0000000,0.2443159,0.3754997,0.0117660,0.0324936,
0.0000000,0.0000023,0.0078866,0.0000023,0.0108866,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3619392,0.0117524,0.0323726,
0.0000000,0.0000023,-0.0031760,0.0000023,0.0108240,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3577709,0.0116672,0.0322439,
0.0000000,0.0000023,0.0008496,0.0000023,0.0108496,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3911521,0.0116492,0.0321138,
0.0000000,0.0000022,0.0018439,0.0000022,0.0108439,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3768289,0.0116241,0.0320061,
0.0000000,0.0000022,0.0028307,0.0000022,0.0108307,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3911521,0.0115965,0.0318913,
0.0000000,0.0000022,-0.0021880,0.0000022,0.0108120,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3728270,0.0115656,0.0317858,
0.0000000,0.0000022,0.0078278,0.0000022,0.0108278,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3847077,0.0115467,0.0316709,
0.0000000,0.0000022,0.0057751,0.0000022,0.0107751,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3898718,0.0114659,0.0315641,
0.0000000,0.0000022,0.0017375,0.0000022,0.0107375,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3872983,0.0114182,0.0314612,
0.0000000,0.0000022,0.0057261,0.0000022,0.0107261,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3924283,0.0113920,0.0313579,
0.0000000,0.0000021,0.0016898,0.0000021,0.0106898,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3937004,0.0113452,0.0312583,
0.0000000,0.0000021,-0.0013208,0.0000021,0.0106792,0.0000000,0.0120000,0.0000000,0.0000000,0.1941626,0.3820994,0.0113195,0.0311602,
