Time, fMagVelBx, fMagVelBy, fMagVelBz, s_nZeroVelChkCnt, ZUPT_Run_Flag, ZUPT_FLAG 
110.644806,0.002237,5.004357,0.055007, 0, 0, 0
110.654808,0.001076,5.020580,0.059823, 0, 0, 0
110.664810,0.000518,5.036904,0.062506, 0, 0, 0
110.674805,0.004561,5.054215,0.066816, 0, 0, 0
110.684807,0.002728,5.072242,0.065267, 0, 0, 0
110.694809,0.001163,5.090943,0.065895, 0, 0, 0
110.704803,0.002036,5.108034,0.068434, 0, 0, 0
110.714806,0.001654,4.734405,0.013769, 0, 0, 0
110.724808,0.001592,4.748619,0.057820, 0, 0, 0
110.734802,0.000245,4.762693,0.055838, 0, 0, 0
110.744804,0.002304,4.777474,0.054724, 0, 0, 0
110.754807,0.004630,4.791399,0.053341, 0, 0, 0
110.764809,0.001277,4.805159,0.053908, 0, 0, 0
110.774811,0.001183,4.818428,0.055376, 0, 0, 0
110.784805,0.001036,4.830924,0.060906, 0, 0, 0
110.794807,0.002521,4.843812,0.065463, 0, 0, 0
110.804810,0.001914,4.858227,0.065864, 0, 0, 0
110.814804,0.003354,4.874727,0.061855, 0, 0, 0
110.824806,0.002750,4.891037,0.062655, 0, 0, 0
110.834808,0.001845,4.906209,0.065030, 0, 0, 0
110.844803,0.002319,4.921674,0.068513, 0, 0, 0
110.854805,0.004490,4.936469,0.070105, 0, 0, 0
110.864807,0.002592,4.950891,0.071694, 0, 0, 0
110.874809,0.000162,4.965589,0.072559, 0, 0, 0
110.884804,0.002965,4.981272,0.068031, 0, 0, 0
110.894806,0.005868,4.996425,0.062656, 0, 0, 0
110.904808,0.005175,5.009992,0.064273, 0, 0, 0
110.914810,0.006041,5.022669,0.066407, 0, 0, 0
110.924805,0.006456,5.034513,0.072135, 0, 0, 0
110.934807,0.006891,5.046870,0.073493, 0, 0, 0
110.944809,0.006546,5.060357,0.076582, 0, 0, 0
110.954803,0.006487,5.075128,0.075114, 0, 0, 0
110.964806,0.013081,4.739102,0.018362, 0, 0, 0
110.974808,0.009462,4.753500,0.059621, 0, 0, 0
110.984810,0.010687,4.766744,0.062128, 0, 0, 0
110.994804,0.004772,4.779539,0.067104, 0, 0, 0
111.004807,0.000023,4.792312,0.070273, 0, 0, 0
111.014809,0.002144,4.805838,0.071517, 0, 0, 0
111.024811,0.002845,4.818814,0.074623, 0, 0, 0
111.034805,0.000080,4.832720,0.076574, 0, 0, 0
111.044807,0.000762,4.846101,0.075700, 0, 0, 0
111.054810,0.000732,4.858867,0.074318, 0, 0, 0
111.064804,0.004397,4.870667,0.075510, 0, 0, 0
111.074806,0.006639,4.881521,0.079121, 0, 0, 0
111.084808,0.004927,4.892577,0.082152, 0, 0, 0
111.094810,0.005413,4.904613,0.086944, 0, 0, 0
111.104805,0.006313,4.917632,0.088236, 0, 0, 0
111.114807,0.006144,4.931043,0.088285, 0, 0, 0
111.124809,0.007454,4.944348,0.085259, 0, 0, 0
111.134804,0.010270,4.957276,0.082283, 0, 0, 0
111.144806,0.010286,4.969385,0.083112, 0, 0, 0
111.154808,0.006811,4.981717,0.084376, 0, 0, 0
111.164810,0.006937,4.993742,0.087120, 0, 0, 0
111.174805,0.009159,5.005161,0.088120, 0, 0, 0
111.184807,0.008558,5.016982,0.086257, 0, 0, 0
111.194809,0.007707,5.028211,0.082236, 0, 0, 0
111.204803,0.010331,5.039767,0.080693, 0, 0, 0
111.214806,0.004298,4.735535,0.013564, 0, 0, 0
111.224808,0.003914,4.745160,0.069968, 0, 0, 0
111.234802,0.000898,4.755025,0.074535, 0, 0, 0
111.244804,0.006328,4.764363,0.080270, 0, 0, 0
111.254807,0.007848,4.775197,0.080775, 0, 0, 0
111.264809,0.004200,4.787344,0.077884, 0, 0, 0
111.274811,0.001409,4.800244,0.077377, 0, 0, 0
111.284805,0.002802,4.811621,0.081222, 0, 0, 0
111.294807,0.004207,4.822703,0.086246, 0, 0, 0
111.304810,0.001953,4.834289,0.086625, 0, 0, 0
111.314804,0.000130,4.844176,0.088238, 0, 0, 0
111.324806,0.000211,4.853283,0.092182, 0, 0, 0
111.334808,0.001671,4.863272,0.095374, 0, 0, 0
111.344810,0.000133,4.874586,0.095706, 0, 0, 0
111.354805,0.002423,4.885886,0.094941, 0, 0, 0
111.364807,0.003593,4.895658,0.099344, 0, 0, 0
111.374809,0.000872,4.904800,0.104831, 0, 0, 0
111.384804,0.000739,4.914340,0.112536, 0, 0, 0
111.394806,0.002287,4.925526,0.115578, 0, 0, 0
111.404808,0.003172,4.938214,0.116172, 0, 0, 0
111.414803,0.000792,4.950875,0.117818, 0, 0, 0
111.424805,0.002291,4.963104,0.117158, 0, 0, 0
111.434807,0.001187,4.974240,0.118189, 0, 0, 0
111.444809,0.000939,4.984682,0.118715, 0, 0, 0
111.454803,0.002395,4.994840,0.121060, 0, 0, 0
111.464806,0.006248,4.707057,0.022443, 0, 0, 0
111.474808,0.002511,4.714388,0.101352, 0, 0, 0
111.484802,0.003259,4.721884,0.099722, 0, 0, 0
111.494804,0.003801,4.729116,0.101530, 0, 0, 0
111.504807,0.005659,4.735285,0.103845, 0, 0, 0
111.514809,0.008633,4.742523,0.106106, 0, 0, 0
111.524818,0.008815,4.750907,0.102865, 0, 0, 0
111.534805,0.002555,4.759383,0.104118, 0, 0, 0
111.544807,0.002825,4.767938,0.103818, 0, 0, 0
111.554810,0.007316,4.776790,0.107220, 0, 0, 0
111.564804,0.007656,4.785081,0.111297, 0, 0, 0
111.574806,0.002734,4.794421,0.116396, 0, 0, 0
111.584808,0.001522,4.804666,0.111119, 0, 0, 0
111.594810,0.005090,4.815580,0.106760, 0, 0, 0
111.604805,0.003251,4.824513,0.106495, 0, 0, 0
111.614807,0.002053,4.831115,0.115184, 0, 0, 0
111.624809,0.004004,4.838933,0.122455, 0, 0, 0
111.634804,0.006037,4.847465,0.123896, 0, 0, 0
111.644806,0.003850,4.856400,0.121899, 0, 0, 0
111.654808,0.000738,4.864676,0.123371, 0, 0, 0
111.664803,0.001003,4.872854,0.123128, 0, 0, 0
111.674805,0.004744,4.881600,0.128783, 0, 0, 0
111.684807,0.003977,4.889810,0.134520, 0, 0, 0
111.694809,0.000582,4.898599,0.139870, 0, 0, 0
111.704803,0.004599,4.908215,0.138702, 0, 0, 0
111.714806,0.005123,4.649079,0.041963, 0, 0, 0
111.724808,0.000589,4.654682,0.125947, 0, 0, 0
111.734810,0.000383,4.662069,0.134010, 0, 0, 0
111.744804,0.001793,4.670801,0.135249, 0, 0, 0
111.754807,0.003117,4.679272,0.133755, 0, 0, 0
111.764809,0.002244,4.686236,0.129715, 0, 0, 0
111.774811,0.002616,4.691557,0.131463, 0, 0, 0
111.784805,0.003966,4.696754,0.130922, 0, 0, 0
111.794807,0.002359,4.702494,0.132769, 0, 0, 0
111.804810,0.001365,4.708628,0.133431, 0, 0, 0
111.814804,0.000663,4.714488,0.134876, 0, 0, 0
111.824806,0.003288,4.720398,0.135875, 0, 0, 0
111.834808,0.004550,4.726535,0.131411, 0, 0, 0
111.844810,0.004776,4.733883,0.129828, 0, 0, 0
111.854805,0.004196,4.741250,0.128025, 0, 0, 0
111.864807,0.003098,4.748554,0.127849, 0, 0, 0
111.874809,0.005013,4.754495,0.129516, 0, 0, 0
111.884804,0.004556,4.760165,0.129920, 0, 0, 0
111.894806,0.001881,4.766227,0.127053, 0, 0, 0
111.904808,0.002632,4.772096,0.125464, 0, 0, 0
111.914803,0.004688,4.777767,0.123854, 0, 0, 0
111.924805,0.003459,4.783282,0.124563, 0, 0, 0
111.934807,0.001906,4.788197,0.123934, 0, 0, 0
111.944809,0.004648,4.792733,0.127474, 0, 0, 0
111.954803,0.006080,4.797616,0.127279, 0, 0, 0
111.964806,0.001448,4.574240,0.039326, 0, 0, 0
111.974808,0.003219,4.578298,0.113439, 0, 0, 0
111.984810,0.002865,4.583352,0.118221, 0, 0, 0
111.994804,0.003410,4.589238,0.121265, 0, 0, 0
112.004807,0.003728,4.595691,0.120659, 0, 0, 0
112.014809,0.004634,4.601483,0.120648, 0, 0, 0
112.024811,0.004955,4.606660,0.122010, 0, 0, 0
112.034805,0.003598,4.611470,0.124868, 0, 0, 0
112.044807,0.003401,4.615353,0.130840, 0, 0, 0
112.054810,0.003555,4.619279,0.134356, 0, 0, 0
112.064804,0.002785,4.623380,0.137155, 0, 0, 0
112.074806,0.005018,4.627168,0.135538, 0, 0, 0
112.084808,0.006007,4.630859,0.137050, 0, 0, 0
112.094810,0.004952,4.634468,0.137875, 0, 0, 0
112.104805,0.002880,4.638414,0.143010, 0, 0, 0
112.114807,0.004023,4.642648,0.147678, 0, 0, 0
112.124809,0.006849,4.646582,0.152082, 0, 0, 0
112.134804,0.008123,4.651221,0.152285, 0, 0, 0
112.144806,0.010226,4.656297,0.150107, 0, 0, 0
112.154808,0.010752,4.661562,0.147050, 0, 0, 0
112.164810,0.009589,4.666907,0.146158, 0, 0, 0
112.174805,0.009244,4.671705,0.146496, 0, 0, 0
112.184807,0.010962,4.675225,0.147460, 0, 0, 0
112.194809,0.014131,4.677479,0.150845, 0, 0, 0
112.204803,0.014288,4.678988,0.150700, 0, 0, 0
112.214806,0.005003,4.476201,0.071424, 0, 0, 0
112.224808,0.011766,4.476334,0.133980, 0, 0, 0
112.234810,0.016444,4.479451,0.131761, 0, 0, 0
112.244804,0.017492,4.482201,0.130328, 0, 0, 0
112.254807,0.016090,4.484159,0.132339, 0, 0, 0
112.264809,0.019773,4.484401,0.139808, 0, 0, 0
112.274811,0.024670,4.485756,0.147581, 0, 0, 0
112.284805,0.022276,4.490017,0.147091, 0, 0, 0
112.294807,0.017584,4.496519,0.142094, 0, 0, 0
112.304810,0.018944,4.502126,0.138149, 0, 0, 0
112.314804,0.021744,4.505156,0.139938, 0, 0, 0
112.324806,0.018696,4.507431,0.142337, 0, 0, 0
112.334808,0.015192,4.508511,0.146101, 0, 0, 0
112.344810,0.017152,4.509063,0.150400, 0, 0, 0
112.354805,0.021362,4.510214,0.152555, 0, 0, 0
112.364807,0.019505,4.512682,0.149903, 0, 0, 0
112.374809,0.013382,4.515381,0.147010, 0, 0, 0
112.384804,0.014166,4.516459,0.151694, 0, 0, 0
112.394806,0.017396,4.517734,0.157505, 0, 0, 0
112.404808,0.018900,4.519736,0.158749, 0, 0, 0
112.414803,0.016518,4.522246,0.160519, 0, 0, 0
112.424805,0.016620,4.525062,0.162380, 0, 0, 0
112.434807,0.017933,4.527830,0.167248, 0, 0, 0
112.444809,0.013170,4.531688,0.167124, 0, 0, 0
112.454803,0.010430,4.535917,0.167083, 0, 0, 0
112.464806,0.009135,4.370523,0.102726, 0, 0, 0
112.474808,0.018713,4.370462,0.151267, 0, 0, 0
112.484810,0.018680,4.370773,0.147740, 0, 0, 0
112.494804,0.015282,4.370873,0.147758, 0, 0, 0
112.504807,0.016421,4.370225,0.153789, 0, 0, 0
112.514809,0.016502,4.369749,0.158479, 0, 0, 0
112.524811,0.014807,4.370595,0.157403, 0, 0, 0
112.534805,0.017037,4.371273,0.153716, 0, 0, 0
112.544807,0.022079,4.371594,0.151952, 0, 0, 0
112.554810,0.027069,4.372047,0.150012, 0, 0, 0
112.564804,0.024845,4.372946,0.148290, 0, 0, 0
112.574806,0.022008,4.373628,0.147739, 0, 0, 0
112.584808,0.024295,4.373493,0.151421, 0, 0, 0
112.594810,0.025507,4.373876,0.149171, 0, 0, 0
112.604805,0.026273,4.373471,0.145995, 0, 0, 0
112.614807,0.028970,4.372972,0.142904, 0, 0, 0
112.624809,0.033852,4.373118,0.144985, 0, 0, 0
112.634804,0.035052,4.372969,0.144314, 0, 0, 0
112.644806,0.033960,4.373778,0.142044, 0, 0, 0
112.654808,0.037479,4.373649,0.139109, 0, 0, 0
112.664810,0.041976,4.373109,0.141095, 0, 0, 0
112.674805,0.042469,4.372455,0.144147, 0, 0, 0
112.684807,0.040998,4.372263,0.148756, 0, 0, 0
112.694809,0.042499,4.372875,0.150800, 0, 0, 0
112.704803,0.047658,4.373668,0.152180, 0, 0, 0
112.714806,0.038974,4.233196,0.097547, 0, 0, 0
112.724808,0.043338,4.232731,0.134978, 0, 0, 0
112.734802,0.041570,4.232128,0.135403, 0, 0, 0
112.744804,0.044657,4.230637,0.145607, 0, 0, 0
112.754807,0.047023,4.229139,0.149940, 0, 0, 0
