time,gps->velocity_mps[0], gps->velocity_mps[1],gps->speed_mps, gps->speedAccur_mps,gps->heading_motion_rad, gps->headingAccur_rad,rt_float[0], rt_float[1],
117.9548035,3.7207096,-1.0275797,3.8599999,0.0980000,-1.8402578,0.0412709,0.0100000,0.0100000,
118.2048035,3.7005024,-1.0768465,3.8540001,0.1000000,-1.8539760,0.0399602,0.0100000,0.0100000,
118.4548035,3.6829462,-1.1489432,3.8580000,0.1020000,-1.8731920,0.0398529,0.0100000,0.0100000,
118.7048035,3.6494713,-1.1881094,3.8380001,0.0990000,-1.8855315,0.0359650,0.0100000,0.0100000,
118.9548035,3.6119702,-1.3269422,3.8480000,0.0970000,-1.9228641,0.0362671,0.0100000,0.0100000,
119.2048035,3.5749888,-1.4715334,3.8659999,0.0970000,-1.9612788,0.0367008,0.0100000,0.0100000,
119.4548035,3.6365359,-1.5826445,3.9660001,0.0980000,-1.9812802,0.0366880,0.0100000,0.0100000,
119.7048035,3.7526910,-1.7365303,4.1350002,0.1040000,-2.0041964,0.0349364,0.0100000,0.0100000,
119.9548035,3.7138112,-1.8250071,4.1380000,0.1090000,-2.0275490,0.0365449,0.0100000,0.0100000,
120.2048035,3.7595460,-1.8633924,4.1960001,0.1030000,-2.0309522,0.0347533,0.0100000,0.0100000,
120.4548035,3.6925404,-1.9310703,4.1669998,0.1100000,-2.0526469,0.0365596,0.0100000,0.0100000,
120.7048035,3.6720104,-2.0159519,4.1890001,0.1090000,-2.0728753,0.0351888,0.0100000,0.0100000,
120.9548035,3.6007929,-2.0772436,4.1570001,0.1030000,-2.0940461,0.0356059,0.0100000,0.0100000,
121.2048035,3.6277320,-2.1283782,4.2059999,0.1040000,-2.1013765,0.0358358,0.0100000,0.0100000,
121.4548035,3.5679989,-2.2195020,4.2020001,0.1060000,-2.1272771,0.0370984,0.0100000,0.0100000,
121.7048035,3.4679441,-2.3550429,4.1919999,0.1030000,-2.1673498,0.0359983,0.0100000,0.0100000,
121.9548035,3.3401997,-2.5296576,4.1900001,0.1050000,-2.2189767,0.0362350,0.0100000,0.0100000,
122.2048035,3.2122860,-2.6164229,4.1430001,0.1060000,-2.2543194,0.0370069,0.0100000,0.0100000,
122.4548035,2.9572721,-2.8901155,4.1350002,0.1090000,-2.3447101,0.0380702,0.0100000,0.0100000,
122.7048035,2.7558463,-3.1095560,4.1550002,0.1080000,-2.4164259,0.0363889,0.0100000,0.0100000,
